"Player"	"TEAM"	"AGE"	"FGM"	"FGA"	"FG."	"FGM.1"	"FGA.1"	"FG..1"	"FGM.2"	"FGA.2"	"FG..2"	"FGM.3"	"FGA.3"	"FG..3"	"FGM.4"	"FGA.4"	"FG..4"	"FGM.5"	"FGA.5"	"FG..5"	"YEAR"
"219"	"Jarred Vanderbilt"	"MIN"	20	0.5	0.6	71.4	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	"2019-20"
"220"	"Jarrell Brantley"	"UTA"	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2019-20"
"221"	"Jarrett Allen"	"BKN"	21	4	5.8	69.4	0.1	0.5	24.1	0	0.1	20	0	0	0	0	0.1	0	0	0	0	"2019-20"
"222"	"Jarrett Culver"	"MIN"	21	2.3	4.4	51.6	0.2	0.7	27.7	0.1	0.2	50	0	0.2	15.4	0.4	1.4	31.4	0.6	2.1	29.6	"2019-20"
"223"	"Jarrod Uthoff"	"MEM"	26	0	0.3	0	0	0.5	0	0.5	0.5	100	0	0	0	0	0.3	0	0	0.8	0	"2019-20"
"224"	"Javonte Green"	"BOS"	26	0.9	1.4	59.7	0.1	0.3	40	0	0	50	0	0	100	0.1	0.3	30	0.1	0.3	23.1	"2019-20"
"225"	"Jaxson Hayes"	"NOP"	19	2.7	3.8	70.6	0.1	0.3	21.4	0	0.1	33.3	0	0	0	0	0	100	0	0	0	"2019-20"
"226"	"Jaylen Brown"	"BOS"	23	3.5	5.6	62.1	0.8	1.7	46.5	0.5	1.1	47.4	0.5	1.2	46.6	1.1	2.3	47.9	1.1	3.3	31.7	"2019-20"
"227"	"Jaylen Hoard"	"POR"	20	1.3	1.8	71.4	0	0.4	0	0	0.3	0	0	0.1	0	0	0.2	0	0	0.1	0	"2019-20"
"228"	"Jaylen Nowell"	"MIN"	20	0.6	1.2	50	0.3	0.4	83.3	0.1	0.1	50	0.1	0.1	100	0.1	0.9	16.7	0.1	1	7.1	"2019-20"
"229"	"Jayson Tatum"	"BOS"	22	3.5	6.4	55.4	0.6	1.5	39.3	0.7	1.9	38.9	0.7	1.7	41	0.9	2.2	38.6	2	5	39.5	"2019-20"
"230"	"Jeff Green"	"HOU"	33	1.4	2.1	64.3	0.3	0.7	42.3	0.1	0.2	28.6	0	0.1	0	0.7	1.9	39.2	0.5	1.5	33.9	"2019-20"
"231"	"Jeff Teague"	"ATL"	31	1.7	3.1	53	0.8	1.8	43	0.3	0.9	32.1	0.2	0.4	39.1	0.2	0.5	34.4	0.5	1.4	37.6	"2019-20"
"232"	"Jerami Grant"	"DEN"	26	2.1	3.2	64.1	0.3	0.9	31.6	0.1	0.5	31	0.2	0.6	35.9	0.8	2	40.8	0.6	1.6	38.6	"2019-20"
"233"	"Jeremiah Martin"	"BKN"	23	0.3	0.7	50	0	0	0	0	0	0	0	0.3	0	0	0.7	0	0	0	0	"2019-20"
"234"	"Jeremy Lamb"	"IND"	27	1.5	2.6	57.1	0.5	1	50	0.8	1.2	63.2	0.7	1.9	37.1	0.4	1.3	34.5	0.8	2.3	34.6	"2019-20"
"235"	"Jeremy Pargo"	"GSW"	34	1.7	2	83.3	0	1	0	0.7	1	66.7	0.3	0.7	50	0	0.3	0	1	2.3	42.9	"2019-20"
"236"	"Jerome Robinson"	"WAS"	23	0.4	0.8	48.8	0.1	0.3	20	0.2	0.4	52.6	0.2	0.5	34.6	0.3	1.1	25.9	0.3	1.1	32.1	"2019-20"
"237"	"Jevon Carter"	"PHX"	24	0.4	0.8	46.2	0	0.2	9.1	0.1	0.2	45.5	0.2	0.5	45.5	0.4	1.1	35.7	0.6	1.3	43.8	"2019-20"
"238"	"Jimmy Butler"	"MIA"	30	3.4	5.5	62.3	1	2.5	40.6	0.6	1.7	38.9	0.4	1.3	29.6	0.3	0.9	29.4	0.3	1.3	23.6	"2019-20"
"239"	"Joe Chealey"	"CHA"	24	0	0.3	0	0	0.7	0	0	0	0	0	0	0	0	0.8	0	0	0.3	0	"2019-20"
"240"	"Joe Harris"	"BKN"	28	2.3	4	57.6	0.2	0.5	32.3	0.1	0.3	47.1	0.2	0.4	43.5	0.9	2.2	43.4	1.5	3.8	40.1	"2019-20"
"241"	"Joe Ingles"	"UTA"	32	1	1.6	64	0.2	0.8	31.3	0.2	0.4	47.8	0	0.1	42.9	0.8	2.2	37.9	1.1	2.7	41.5	"2019-20"
"242"	"Joel Embiid"	"PHI"	26	3.3	5	66.1	1	2	49.4	1	2.5	38.7	0.8	2.4	35.2	0.3	0.9	31.6	1.2	3.1	38.4	"2019-20"
"243"	"John Collins"	"ATL"	22	6	8.3	72.1	0.6	1.3	48.1	0.2	0.9	27.8	0.2	0.5	47.6	0.4	1	41.5	1.1	2.7	40.2	"2019-20"
"244"	"John Henson"	"DET"	29	1.8	2.5	73.7	0.3	0.8	39.4	0	0	100	0	0.1	0	0.1	0.5	20	0.1	0.4	26.7	"2019-20"
"245"	"John Konchar"	"MEM"	23	1.1	1.6	69.6	0.1	0.1	100	0.1	0.1	100	0	0	0	0.1	0.4	16.7	0.2	0.2	100	"2019-20"
"246"	"Johnathan Motley"	"LAC"	24	0.8	1.1	76.9	0	0.2	0	0	0	0	0	0	0	0	0	0	0.1	0.1	100	"2019-20"
"247"	"Johnathan Williams"	"WAS"	24	1.1	1.3	84.6	0.3	0.6	60	0	0.1	0	0.2	0.4	50	0	0.1	0	0	0	0	"2019-20"
"248"	"Jonah Bolden"	"PHX"	24	0.7	1.2	57.1	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0	"2019-20"
"249"	"Jonas Valanciunas"	"MEM"	27	3.9	5.6	70.3	1.5	2.7	52.9	0.2	0.7	32.6	0.1	0.2	46.2	0.1	0.5	32.1	0.4	0.9	40	"2019-20"
"250"	"Jonathan Isaac"	"ORL"	22	2.6	4.1	62.9	0.2	0.6	27.8	0.5	1.3	38.5	0.5	1.2	39.5	0.5	1.3	37.5	0.5	1.7	29.1	"2019-20"
"251"	"Jordan Bell"	"MEM"	25	1	1.5	65.9	0.1	0.2	33.3	0	0.1	0	0	0.1	0	0.1	0.3	40	0	0.1	0	"2019-20"
"252"	"Jordan Bone"	"DET"	22	0.1	0.2	50	0	0.3	0	0.2	0.4	50	0	0.3	0	0	0.3	0	0.2	0.8	28.6	"2019-20"
"253"	"Jordan Clarkson"	"UTA"	27	2.2	3.4	64.2	0.9	1.8	50.4	0.3	0.8	39.6	0.1	0.3	23.5	1	2.5	40	1.1	3.2	34.8	"2019-20"
"254"	"Jordan McLaughlin"	"MIN"	23	1.7	2.9	59.1	0.1	0.3	30	0.1	0.1	100	0	0	0	0.3	0.8	34.8	0.7	1.6	44.7	"2019-20"
"255"	"Jordan McRae"	"DET"	28	1.5	2.7	56	0.3	0.9	32.4	0.3	1.2	27.3	0.6	1.4	40.8	0.6	1.5	39.6	0.8	2.2	35	"2019-20"
"256"	"Jordan Poole"	"GSW"	20	0.8	1.6	46.7	0.2	0.4	55	0.2	0.7	31.6	0.4	1.2	34.8	0.4	1.3	29.3	0.9	3.3	28.2	"2019-20"
"257"	"Josh Gray"	"NOP"	26	0.5	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2019-20"
"258"	"Josh Hart"	"NOP"	25	1.4	2.1	65.6	0.1	0.2	45.5	0.1	0.2	23.1	0	0.1	12.5	0.9	2.2	41.6	1	3.5	28.5	"2019-20"
"259"	"Josh Jackson"	"MEM"	23	1.9	2.9	64.2	0.4	0.9	41.2	0.1	0.3	16.7	0.1	0.3	40	0.8	2	38.9	0.6	2	27.8	"2019-20"
"260"	"Josh Magette"	"ORL"	30	0.5	0.5	100	0	0.3	0	0.1	0.4	33.3	0	0.4	0	0	0	0	0.1	0.5	25	"2019-20"
"261"	"Josh Okogie"	"MIN"	21	1.9	3.1	61.5	0.1	0.6	21.1	0	0.2	25	0	0	0	0.4	1.2	34.7	0.2	1.3	18.3	"2019-20"
"262"	"Josh Reaves"	"DAL"	22	0	0	0	NA	NA	NA	0	1	0	NA	NA	NA	0	0	0	0	0	0	"2019-20"
"263"	"Josh Richardson"	"PHI"	26	1.4	2.4	58.1	0.5	1.3	40.3	0.5	1.4	33.3	1.1	2	53.8	0.6	1.4	39.1	1.1	3.4	32.3	"2019-20"
"264"	"Jrue Holiday"	"NOP"	29	4.3	7.2	58.8	0.7	2.1	32.2	0.4	0.9	45.1	0.2	0.7	30.6	0.8	2.3	34.1	1.3	3.7	35.8	"2019-20"
"265"	"Juan Toscano-Anderson"	"GSW"	26	1.5	2.8	55.6	0.1	0.1	100	0	0.1	0	0	0	0	0.3	0.9	36.4	0.3	1.2	28.6	"2019-20"
